iso_code,location,population,human_development_index,life_expectancy,hospital_beds_per_thousand,aged_65_older,median_age,population_density,continent,Nombre de cas,Nombre de morts,Nombre de cas par million,Nombre de morts par million,Nombre de vaccinés ( au moins une dose),Nombre de vaccinés ( toutes les doses),Index,Nombre de vaccinés ( toutes les doses) par million
PER,Peru,34049588.0,0.777,76.74,1.6,7.151,29.1,25.129,South America,4461129.0,218284.0,131018.59,6410.768,30206334.0,28426576.0,1,834858.1486507268
BGR,Bulgaria,6781955.0,0.816,75.05,7.454,20.801,44.7,65.18,Europe,1292525.0,38113.0,190582.951,5619.766,2104752.0,2074837.0,2,305934.9405886651
BIH,Bosnia and Herzegovina,3233530.0,0.78,77.4,3.5,16.569,42.5,68.496,Europe,401036.0,16229.0,124024.209,5018.973,943394.0,846080.0,3,261658.31150476416
HUN,Hungary,9967304.0,0.854,76.88,7.02,18.577,43.4,108.043,Europe,2185816.0,48495.0,219298.619,4865.408,6420813.0,6207249.0,4,622761.079625945
MKD,North Macedonia,2093606.0,0.774,75.8,4.28,13.26,39.1,82.6,Europe,345603.0,9614.0,165075.473,4592.077,854452.0,838048.0,5,400289.261685341
GEO,Georgia,3744385.0,0.812,73.77,2.6,14.864,38.7,65.032,Asia,1809359.0,16899.0,483219.274,4513.158,1654504.0,1276173.0,6,340823.1258270717
MNE,Montenegro,627082.0,0.829,76.88,3.861,14.762,39.1,46.28,Europe,284835.0,2791.0,454222.893,4450.774,292783.0,284869.0,7,454277.11208422505
HRV,Croatia,4030361.0,0.851,78.49,5.54,19.724,44.0,73.726,Europe,1264385.0,17638.0,313715.074,4376.283,2320679.0,2250567.0,8,558403.329131063
CZE,Czechia,10493990.0,0.9,79.38,6.63,19.027,43.3,137.176,Europe,4580954.0,42158.0,436531.195,4017.347,6976119.0,6891930.0,9,656750.197017531
SVK,Slovakia,5643455.0,0.86,77.54,5.82,15.07,41.2,113.128,Europe,2657650.0,20827.0,470926.055,3690.47,2595901.0,2577827.0,10,456781.70553322387
MDA,Moldova,3272993.0,0.75,71.9,5.8,10.864,37.6,123.655,Europe,596550.0,11933.0,182264.368,3645.898,1104450.0,1073914.0,11,328113.7478754156
SMR,San Marino,33690.0,,84.97,3.8,,,556.667,Europe,23176.0,121.0,687919.264,3591.57,26357.0,23633.0,12,701484.1199168894
LTU,Lithuania,2750058.0,0.882,75.93,6.56,19.002,43.5,45.135,Europe,1289255.0,9488.0,468810.112,3450.109,1956432.0,1879898.0,13,683584.8553012337
ROU,Romania,19659270.0,0.828,76.05,6.892,17.85,43.0,85.129,Europe,3312085.0,67408.0,168474.465,3428.815,8185732.0,8114769.0,14,412770.6166098741
GIB,Gibraltar,32677.0,,79.93,,,,3457.1,Europe,20275.0,110.0,620466.995,3366.282,42175.0,41465.0,15,1268935.3367812221
GRC,Greece,10384972.0,0.888,82.24,4.21,20.396,45.3,83.479,Europe,5548487.0,34779.0,534280.401,3348.974,7932489.0,7642958.0,16,735963.2746241395
LVA,Latvia,1850654.0,0.866,75.29,5.57,19.754,43.9,31.212,Europe,974309.0,6165.0,526467.4,3331.255,1346184.0,1305976.0,17,705683.504317933
SVN,Slovenia,2119843.0,0.917,81.32,4.5,19.062,44.5,102.619,Europe,1308470.0,7016.0,617248.542,3309.679,1265802.0,1222225.0,18,576563.924781222
USA,United States,338289856.0,0.926,78.86,2.77,15.413,38.3,35.608,North America,100845043.0,1093971.0,298102.474,3233.827,268363272.0,229135170.0,19,677333.8482842358
CHL,Chile,19603736.0,0.851,80.18,2.11,11.087,35.4,24.282,South America,5045602.0,63200.0,257379.614,3223.875,18082896.0,17695722.0,20,902670.8990572001
BRA,Brazil,215313504.0,0.765,75.88,2.2,8.552,33.5,25.04,South America,36362366.0,693981.0,168881.028,3223.119,188564151.0,174905276.0,21,812328.4083472999
GBR,United Kingdom,67508936.0,0.932,81.32,2.54,18.517,40.8,272.898,Europe,24135084.0,213249.0,357509.471,3158.826,53813491.0,50762968.0,22,751944.4240685411
ARM,Armenia,2780472.0,0.776,75.09,4.2,11.232,35.7,102.931,Asia,445976.0,8716.0,160395.789,3134.72,1129669.0,985807.0,23,354546.63812475005
ITA,Italy,59037472.0,0.892,83.51,3.18,23.021,47.9,205.859,Europe,25143705.0,184642.0,425893.998,3127.539,50865838.0,47975181.0,24,812622.5492853082
OWID_SAM,South America,436816679.0,,,,,,,,66894503.0,1341544.0,153140.908,3071.183,373747942.0,338211708.0,25,774264.6383701846
UKR,Ukraine,39701744.0,0.779,72.06,8.8,16.462,41.4,77.39,Europe,5666050.0,118739.0,142715.393,2990.775,15774300.0,15153577.0,26,381685.42419698235
POL,Poland,39857144.0,0.88,78.73,6.62,16.763,41.8,124.027,Europe,6369442.0,118546.0,159806.784,2974.272,22852024.0,22625110.0,27,567655.0733288868
PRY,Paraguay,6780745.0,0.728,74.25,1.3,6.378,26.5,17.144,South America,792215.0,19688.0,116833.032,2903.516,3975338.0,3530179.0,28,520618.162163597
ARG,Argentina,45510324.0,0.845,76.67,5.0,11.198,31.9,16.177,South America,9963697.0,130171.0,218932.676,2860.252,41406841.0,37915226.0,29,833112.6361570179
BEL,Belgium,11655923.0,0.931,81.63,5.64,18.571,41.8,375.564,Europe,4668248.0,33228.0,400504.362,2850.739,9264172.0,9166871.0,30,786456.0361285846
TTO,Trinidad and Tobago,1531043.0,0.796,73.51,3.0,10.014,36.2,266.886,North America,186279.0,4289.0,121668.039,2801.358,753588.0,716898.0,31,468241.58433172683
COL,Colombia,51874028.0,0.767,77.29,1.71,7.646,32.2,44.223,South America,6336660.0,141881.0,122154.771,2735.107,42909220.0,36879309.0,32,710939.7596808947
OWID_EUR,Europe,744807803.0,,,,,,,,245103142.0,2002247.0,329082.404,2688.273,521815826.0,498589464.0,33,669420.301441176
RUS,Russia,144713312.0,0.824,72.58,8.05,14.178,39.6,8.823,Europe,21502402.0,385927.0,148586.206,2666.838,87669148.0,78929790.0,34,545421.7646542428
OWID_EUN,European Union,450146793.0,,,,,,,,181838614.0,1192434.0,403954.036,2648.989,338058888.0,328154199.0,35,728993.7507118927
ABW,Aruba,106459.0,,76.29,,13.085,41.2,584.8,North America,44145.0,280.0,414666.679,2630.121,90152.0,83993.0,36,788970.4017509088
MEX,Mexico,127504120.0,0.779,75.05,1.38,6.857,29.3,66.444,North America,7252944.0,331197.0,56883.997,2597.54,99071001.0,82652919.0,37,648237.241275027
OWID_NAM,North America,600323657.0,,,,,,,,119319758.0,1553219.0,198759.047,2587.303,457627033.0,393046717.0,38,654724.6846212492
SRB,Serbia,6871547.0,0.806,76.0,5.609,17.366,41.2,80.291,Europe,2448268.0,17541.0,356290.658,2552.7,3354075.0,3278198.0,39,477068.4097773034
PRT,Portugal,10270857.0,0.864,82.05,3.39,21.502,46.2,112.371,Europe,5557941.0,25805.0,541137.025,2512.449,9770966.0,8884382.0,40,865008.8303244802
ESP,Spain,47558632.0,0.904,83.56,2.97,19.436,45.5,93.105,Europe,13684258.0,117095.0,287734.475,2462.119,41310693.0,40657640.0,41,854895.0693114974
AUT,Austria,8939617.0,0.922,81.54,7.37,19.202,44.4,106.749,Europe,5712491.0,21448.0,639008.472,2399.208,6895915.0,6822860.0,42,763216.1422575486
FRA,France,67813000.0,0.901,82.66,5.98,19.718,42.0,122.578,Europe,39396172.0,162446.0,580953.092,2395.499,54630083.0,53134102.0,43,783538.5840473066
BMU,Bermuda,64207.0,,82.59,,,,1308.82,North America,18622.0,153.0,290030.682,2382.918,48554.0,47657.0,44,742239.942685377
TUN,Tunisia,12356116.0,0.74,76.7,2.3,8.001,32.7,74.228,Africa,1147571.0,29284.0,92874.735,2370.0,7217098.0,6392574.0,45,517361.1189794592
LCA,Saint Lucia,179872.0,0.759,76.2,1.3,9.721,34.9,293.187,North America,29748.0,409.0,165384.273,2273.839,60140.0,54971.0,46,305611.7683686177
SUR,Suriname,618046.0,0.738,71.68,3.1,6.933,29.6,3.612,South America,82020.0,1398.0,132708.569,2261.968,267820.0,237879.0,47,384888.82704523613
LIE,Liechtenstein,39355.0,0.919,82.49,2.397,,,237.012,Europe,21296.0,88.0,541125.651,2236.056,26763.0,26458.0,48,672290.6873332486
OWID_HIC,High income,1250514600.0,,,,,,,,419138556.0,2790275.0,335172.861,2231.301,996411825.0,933333440.0,49,746359.4907248584
URY,Uruguay,3422796.0,0.817,77.91,2.8,14.655,35.6,19.751,South America,1020161.0,7570.0,298049.022,2211.642,3003589.0,2895701.0,50,846004.5530028667
EST,Estonia,1326064.0,0.892,78.74,4.69,19.452,42.7,31.033,Europe,612451.0,2872.0,461856.29,2165.808,868574.0,848136.0,51,639589.0394430434
PYF,French Polynesia,306292.0,,77.66,,7.775,32.7,77.324,Oceania,77957.0,649.0,254518.564,2118.893,190765.0,186059.0,52,607456.2835464198
SWE,Sweden,10549349.0,0.945,82.8,2.22,19.985,41.0,24.718,Europe,2674862.0,21827.0,253557.068,2069.038,7814933.0,7632713.0,53,723524.5511358094
AND,Andorra,79843.0,0.868,83.73,,,,163.755,Europe,47751.0,165.0,598061.195,2066.556,57901.0,53485.0,54,669877.1338752302
VGB,British Virgin Islands,31332.0,,79.07,,,,207.973,North America,7305.0,64.0,233148.219,2042.64,19466.0,18261.0,55,582822.6733052471
BHS,Bahamas,409989.0,0.814,73.92,2.9,8.996,34.3,39.497,North America,37491.0,833.0,91443.917,2031.762,174147.0,165633.0,56,403993.76568639645
BRB,Barbados,281646.0,0.814,79.19,5.8,14.952,39.8,664.463,North America,105515.0,568.0,374636.956,2016.716,163820.0,154990.0,57,550300.732124724
ECU,Ecuador,18001002.0,0.759,77.01,1.5,7.104,28.1,66.939,South America,1040463.0,35940.0,57800.282,1996.556,15317477.0,14216691.0,58,789772.2026807175
LBN,Lebanon,5489744.0,0.744,78.93,2.9,8.514,31.1,594.561,Asia,1222945.0,10747.0,222769.04,1957.65,2740227.0,2414223.0,59,439769.6868925036
PAN,Panama,4408582.0,0.815,78.51,2.3,7.918,29.7,55.133,North America,1025844.0,8575.0,232692.507,1945.07,3520586.0,3164398.0,60,717781.3637128673
DEU,Germany,83369840.0,0.947,81.33,8.0,21.453,46.6,237.016,Europe,37446795.0,162021.0,449164.77,1943.401,64848992.0,63536077.0,61,762099.0636421996
GRD,Grenada,125459.0,0.779,72.4,3.7,7.304,29.4,317.132,North America,19660.0,238.0,156704.581,1897.034,44180.0,38975.0,62,310659.2592002168
LUX,Luxembourg,647601.0,0.916,82.25,4.51,14.312,39.7,231.447,Europe,313150.0,1189.0,483553.917,1836.007,481903.0,462574.0,63,714288.58201269
BOL,Bolivia,12224114.0,0.718,71.51,1.1,6.704,25.4,10.202,South America,1165375.0,22310.0,95334.108,1825.081,7361008.0,6160585.0,64,503969.85826539254
MSR,Montserrat,4413.0,,74.16,,,,,North America,1403.0,8.0,317924.315,1812.826,2104.0,1952.0,65,442329.4810786313
OWID_KOS,Kosovo,1782115.0,,,,,,168.155,Europe,272288.0,3202.0,152789.242,1796.742,906680.0,824977.0,66,462920.1819186753
MCO,Monaco,36491.0,,86.75,13.8,,,19347.5,Europe,15968.0,65.0,437587.35,1781.261,28875.0,25667.0,67,703378.9153489901
CRI,Costa Rica,5180836.0,0.81,80.28,1.13,9.468,33.6,96.079,North America,1166842.0,9085.0,225222.725,1753.578,4587029.0,4290783.0,68,828202.8228648813
ZAF,South Africa,59893884.0,0.709,64.13,2.32,5.344,27.3,46.754,Africa,4049454.0,102568.0,67610.476,1712.495,23962787.0,21031216.0,69,351141.29516128893
BLZ,Belize,405285.0,0.716,74.62,1.3,3.853,25.0,16.426,North America,70174.0,688.0,173147.291,1697.571,251848.0,221283.0,70,545993.5600873459
IRL,Ireland,5023108.0,0.955,82.3,2.96,13.928,38.7,69.874,Europe,1687668.0,8293.0,335980.831,1650.97,4104287.0,4057046.0,71,807676.4425530966
IRN,Iran,88550568.0,0.783,76.68,1.5,5.44,32.4,49.831,Asia,7561428.0,144696.0,85391.073,1634.049,65113292.0,58514580.0,72,660804.1181621782
CHE,Switzerland,8740471.0,0.955,83.78,4.53,18.436,43.1,214.243,Europe,4399516.0,14182.0,503349.991,1622.567,6095229.0,6011518.0,73,687779.6402505082
SYC,Seychelles,107135.0,0.796,73.4,3.6,8.606,36.2,208.354,Africa,50355.0,172.0,470014.468,1605.451,85803.0,81661.0,74,762225.2298501891
HKG,Hong Kong,7488863.0,0.949,84.86,,16.303,44.8,7039.714,Asia,2685410.0,12018.0,358587.145,1604.783,6908809.0,6787662.0,75,906367.4953060298
GUY,Guyana,808727.0,0.682,69.91,1.6,5.305,26.3,3.952,South America,72261.0,1289.0,89351.536,1593.863,493404.0,380118.0,76,470020.1674978083
NAM,Namibia,2567024.0,0.646,63.71,,3.552,22.0,3.078,Africa,170295.0,4082.0,66339.465,1590.168,602754.0,526072.0,77,204934.5857304022
CUW,Curacao,191173.0,,78.88,,16.367,41.7,362.644,North America,45986.0,299.0,240546.521,1564.028,108601.0,99955.0,78,522851.0302187024
ATG,Antigua and Barbuda,93772.0,0.778,77.02,3.8,6.933,32.1,231.845,North America,9106.0,146.0,97107.879,1556.968,64290.0,62384.0,79,665273.215885339
MLT,Malta,533293.0,0.895,82.53,4.485,19.426,42.4,1454.037,Europe,116489.0,817.0,218433.394,1531.991,478560.0,471332.0,80,883814.338459346
BES,Bonaire Sint Eustatius and Saba,27052.0,,77.79,,,,,North America,11716.0,39.0,433091.823,1441.668,19109.0,16736.0,81,618660.3578293656
FIN,Finland,5540745.0,0.938,81.91,3.28,21.228,42.8,18.136,Europe,1438205.0,7933.0,259568.885,1431.757,4524247.0,4347399.0,82,784623.5479163904
CYP,Cyprus,896007.0,0.887,80.98,3.4,13.416,37.3,127.657,Europe,631111.0,1258.0,704359.453,1404.007,670969.0,646021.0,83,720999.9475450527
IMN,Isle of Man,84534.0,,81.4,,,,147.872,Europe,38008.0,116.0,449617.905,1372.229,69560.0,67106.0,84,793834.4334823858
DNK,Denmark,5882259.0,0.94,80.9,2.5,19.677,42.3,136.52,Europe,3391597.0,7848.0,576580.698,1334.181,4796272.0,4760867.0,85,809360.3154842382
NLD,Netherlands,17564020.0,0.944,82.28,3.32,18.779,43.2,508.544,Europe,8580093.0,23079.0,488503.942,1313.993,12775557.0,11957652.0,86,680803.8250924334
CAN,Canada,38454328.0,0.929,82.43,2.5,16.984,41.4,4.037,North America,4507762.0,49242.0,117223.788,1280.532,34619167.0,31729983.0,87,825134.24756766
ISR,Israel,9449000.0,0.919,82.97,2.99,11.733,30.6,402.606,Asia,4766786.0,12062.0,504475.183,1276.537,6721320.0,6157593.0,88,651666.1022330406
ALB,Albania,2842318.0,0.795,78.57,2.89,13.188,38.0,104.871,Europe,333812.0,3596.0,117443.58,1265.165,1342243.0,1270016.0,89,446824.03587494435
JOR,Jordan,11285875.0,0.729,74.53,1.4,3.81,23.2,109.285,Asia,1746997.0,14122.0,154794.998,1251.299,4821579.0,4558313.0,90,403895.400223731
JAM,Jamaica,2827382.0,0.734,74.47,1.7,9.684,31.4,266.879,North America,152791.0,3464.0,54039.744,1225.162,843447.0,743499.0,91,262963.7594071123
TUR,Turkey,85341248.0,0.82,77.69,2.81,8.153,31.6,104.914,Asia,17042722.0,101492.0,199700.876,1189.249,57941051.0,53176961.0,92,623109.7182923784
SWZ,Eswatini,1201680.0,0.611,60.19,2.1,3.163,21.5,79.492,Africa,74034.0,1422.0,61608.748,1183.343,507582.0,490673.0,93,408322.51514546305
VCT,Saint Vincent and the Grenadines,103959.0,0.738,72.53,2.6,7.724,31.8,281.787,North America,9538.0,119.0,91747.708,1144.682,37331.0,31445.0,94,302475.01418828574
GTM,Guatemala,17843914.0,0.663,74.3,0.6,4.694,22.9,157.834,North America,1204860.0,20004.0,67522.182,1121.054,8856243.0,7028257.0,95,393874.18029474927
BWA,Botswana,2630300.0,0.735,69.59,1.8,3.941,25.8,4.044,Africa,328760.0,2876.0,124989.545,1093.411,1687070.0,1426050.0,96,542162.4909706118
PSE,Palestine,5250076.0,0.708,74.05,,3.043,20.4,778.202,Asia,703228.0,5708.0,133946.251,1087.222,2012767.0,1776973.0,97,338466.1479186206
MYS,Malaysia,33938216.0,0.81,76.16,1.9,6.293,29.9,96.254,Asia,5027790.0,36859.0,148145.383,1086.062,28121032.0,27532467.0,98,811252.6303680782
NCL,New Caledonia,289959.0,,77.55,,9.954,33.4,15.342,Oceania,79577.0,314.0,274442.249,1082.912,191672.0,184123.0,99,634996.6719432747
HND,Honduras,10432858.0,0.634,75.27,0.7,4.652,24.9,82.805,North America,465915.0,11071.0,44658.424,1061.167,6443311.0,5758291.0,100,551938.0212018605
BHR,Bahrain,1472237.0,0.852,77.29,2.0,2.372,32.4,1935.907,Asia,698889.0,1539.0,474712.292,1045.348,1241174.0,1226796.0,101,833287.0319113024
DMA,Dominica,72758.0,0.742,75.0,3.8,,,98.567,North America,15760.0,74.0,216608.483,1017.07,32995.0,30659.0,102,421383.2155914126
OMN,Oman,4576300.0,0.813,77.86,1.6,2.355,30.7,14.98,Asia,399154.0,4628.0,87221.992,1011.297,3257365.0,3048826.0,103,666220.7460175251
OWID_UMC,Upper middle income,2525921300.0,,,,,,,,143020358.0,2512864.0,56621.067,994.831,2102849293.0,1987479497.0,104,786833.4999194156
KAZ,Kazakhstan,19397998.0,0.825,73.6,6.7,6.991,30.6,6.681,Asia,1488306.0,19058.0,76724.722,982.473,10849289.0,10613754.0,105,547157.186014763
AZE,Azerbaijan,10358078.0,0.756,73.0,4.7,6.018,32.4,119.309,Asia,826462.0,10008.0,79789.127,966.202,5373253.0,4862494.0,106,469439.79375324264
KNA,Saint Kitts and Nevis,47681.0,0.779,76.23,2.3,,,212.865,North America,6562.0,46.0,137622.953,964.745,33794.0,27000.0,107,566263.2914578133
FJI,Fiji,929769.0,0.743,67.44,2.3,6.224,28.6,49.562,Oceania,68750.0,881.0,73943.098,947.547,711556.0,640518.0,108,688900.1461653378
LBY,Libya,6812344.0,0.724,72.91,3.7,4.424,29.0,3.623,Africa,507153.0,6437.0,74446.182,944.902,2308724.0,1229888.0,109,180538.1525066849
NOR,Norway,5434324.0,0.957,82.4,3.6,16.821,39.7,14.462,Europe,1475588.0,4770.0,271531.105,877.754,4346995.0,4054726.0,110,746132.545648732
OWID_WRL,World,7975105024.0,0.737,72.58,2.705,8.696,30.9,58.045,,661608535.0,6695063.0,82959.225,839.495,5511995275.0,5058510841.0,111,634287.677187585
MUS,Mauritius,1299478.0,0.804,74.99,3.4,10.945,37.4,622.962,Africa,291335.0,1041.0,224193.869,801.091,1123773.0,1088142.0,112,837368.5433689527
TCA,Turks and Caicos Islands,45726.0,,80.22,,,,37.312,North America,6479.0,36.0,141691.816,787.298,32338.0,30288.0,113,662380.2650570791
LKA,Sri Lanka,21832150.0,0.782,76.98,3.6,10.069,34.1,341.955,Asia,671903.0,16817.0,30775.851,770.286,17143761.0,14752827.0,114,675738.6240017589
CUB,Cuba,11212198.0,0.783,78.8,5.2,14.738,43.1,110.408,North America,1112048.0,8530.0,99181.98,760.779,10719312.0,10003939.0,115,892237.0974897161
